T	mompeak_num	mompeak_ana
0.34357	0.22279	0.81222
0.34461	0.22244	0.81358
0.34566	0.2221	0.81494
0.3467	0.22176	0.81629
0.34775	0.22142	0.81764
0.34879	0.22109	0.81899
0.34983	0.22075	0.82033
0.35088	0.22042	0.82167
0.35192	0.22009	0.823
0.35297	0.21976	0.82433
0.35401	0.21943	0.82566
0.35506	0.2191	0.82698
0.3561	0.21877	0.8283
0.35714	0.21845	0.82961
0.35819	0.21812	0.83092
0.35923	0.2178	0.83223
0.36028	0.21748	0.83354
0.36132	0.21716	0.83484
0.36237	0.21684	0.83613
0.36341	0.21653	0.83743
0.36445	0.21621	0.83872
0.3655	0.2159	0.84
0.36654	0.21559	0.84128
0.36759	0.21528	0.84256
0.36863	0.21497	0.84384
0.36968	0.21466	0.84511
0.37072	0.21435	0.84638
0.37176	0.21404	0.84759
0.37281	0.21374	0.84885
0.37385	0.21344	0.85011
0.3749	0.21313	0.85137
0.37594	0.21283	0.85262
0.37699	0.21253	0.85387
0.37803	0.21224	0.85512
0.37907	0.21194	0.85637
0.38012	0.21164	0.85761
0.38116	0.21135	0.85885
0.38221	0.21106	0.86008
0.38325	0.21076	0.86132
0.3843	0.21047	0.86255
0.38534	0.21018	0.86377
0.38638	0.2099	0.865
0.38743	0.20961	0.86622
0.38847	0.20932	0.86743
0.38952	0.20904	0.86865
0.39056	0.20875	0.86986
0.39161	0.20847	0.87107
0.39265	0.20819	0.87227
0.39369	0.20791	0.87348
0.39474	0.20763	0.87468
0.39578	0.20735	0.87587
0.39683	0.20708	0.87707
0.39787	0.2068	0.87826
0.39892	0.20653	0.87945
0.39996	0.20625	0.88063
0.401	0.20598	0.88182
0.40205	0.20571	0.883
0.40309	0.20544	0.88418
0.40414	0.20517	0.88535
0.40518	0.2049	0.88653
0.40623	0.20463	0.8877
0.40727	0.20437	0.88886
0.40831	0.2041	0.89003
0.40936	0.20384	0.89119
0.4104	0.20357	0.89235
0.41145	0.20331	0.89351
0.41249	0.20305	0.89467
0.41354	0.20279	0.89582
0.41458	0.20253	0.89697
0.41562	0.20227	0.89812
0.41667	0.20202	0.89926
0.41771	0.20176	0.9004
0.41876	0.20151	0.90155
0.4198	0.20125	0.90268
0.42085	0.201	0.90382
0.42189	0.20075	0.90495
0.42293	0.20049	0.90608
0.42398	0.20024	0.90721
0.42502	0.19999	0.90834
0.42607	0.19975	0.90946
0.42711	0.1995	0.91059
0.42816	0.19925	0.91171
0.4292	0.199	0.91282
0.43024	0.19876	0.91394
0.43129	0.19852	0.91505
0.43233	0.19827	0.91616
0.43338	0.19803	0.91727
0.43442	0.19779	0.91838
0.43547	0.19755	0.91948
0.43651	0.19731	0.92058
0.43755	0.19707	0.92169
0.4386	0.19683	0.92278
0.43964	0.1966	0.92388
0.44069	0.19636	0.92497
0.44173	0.19612	0.92606
0.44278	0.19589	0.92715
0.44382	0.19566	0.92824
0.44486	0.19542	0.92933
0.44591	0.19519	0.93041
0.44695	0.19496	0.93149
0.448	0.19473	0.93257
0.44904	0.1945	0.93365
0.45009	0.19427	0.93473
0.45113	0.19404	0.9358
0.45217	0.19382	0.93687
0.45322	0.19359	0.93794
0.45426	0.19336	0.93901
0.45531	0.19314	0.94008
0.45635	0.19291	0.94109
0.4574	0.19269	0.94215
