gm	a0	apin	variational	geometric
3.62	0.11138	0.10637	0.030891	0.0034238
3.63	0.11241	0.10739	0.031086	0.0035339
3.64	0.11344	0.10842	0.03128	0.0036455
3.65	0.11449	0.10946	0.031474	0.0037586
3.66	0.11553	0.1105	0.031668	0.0038733
3.67	0.11658	0.11154	0.031861	0.0039896
3.68	0.11764	0.11259	0.032054	0.0041074
3.69	0.1187	0.11365	0.032247	0.0042268
3.7	0.11977	0.11471	0.032439	0.0043478
3.71	0.12084	0.11577	0.03263	0.0044703
3.72	0.12192	0.11684	0.032822	0.0045945
3.73	0.123	0.11792	0.033012	0.0047202
3.74	0.12409	0.119	0.033203	0.0048475
3.75	0.12519	0.12008	0.033392	0.0049765
3.76	0.12629	0.12117	0.033581	0.005107
3.77	0.12739	0.12227	0.03377	0.0052391
3.78	0.12856	0.12332	0.034008	0.0053253
3.79	0.12962	0.12447	0.034146	0.0055076
3.8	0.13079	0.12554	0.034382	0.0055983
3.81	0.13192	0.12665	0.034569	0.0057363
3.82	0.13305	0.12777	0.034754	0.0058768
3.83	0.13419	0.12889	0.034939	0.0060189
3.84	0.13533	0.13002	0.035123	0.0061627
