gm	numerical	variational
4.76	48.6892	53.2816
4.77	49.0171	53.6669
4.78	49.3463	54.0538
4.79	49.6765	54.4424
4.8	50.0077	54.8326
4.81	50.3402	55.2245
4.82	50.6738	55.618
4.83	51.0085	56.0132
4.84	51.3445	56.4101
4.85	51.6814	56.8086
4.86	52.0196	57.2088
4.87	52.3587	57.6107
4.88	52.6992	58.0142
4.89	53.0407	58.4193
4.9	53.3833	58.8262
4.91	53.727	59.2347
4.92	54.0718	59.6448
4.93	54.4178	60.0566
4.94	54.7648	60.4701
4.95	55.1129	60.8853
4.96	55.4622	61.3021
4.97	55.8125	61.7205
4.98	56.164	62.1407
4.99	56.4906	62.5625
5	56.8702	62.9859
