Tcrit	gMIX
0.012677	1.55
0.013007	1.56
0.013343	1.57
0.013685	1.58
0.014034	1.59
0.014389	1.6
0.014751	1.61
0.01512	1.62
0.015496	1.63
0.015878	1.64
0.016268	1.65
0.016665	1.66
0.017068	1.67
0.01748	1.68
0.017898	1.69
0.018324	1.7
0.018757	1.71
0.019198	1.72
0.019647	1.73
0.020103	1.74
0.020568	1.75
0.02104	1.76
0.02152	1.77
0.022008	1.78
0.022505	1.79
0.02301	1.8
0.023523	1.81
0.024045	1.82
0.024575	1.83
0.025114	1.84
0.025662	1.85
0.026218	1.86
0.026784	1.87
0.027358	1.88
0.027942	1.89
0.028535	1.9
0.029137	1.91
0.029748	1.92
0.030369	1.93
0.031	1.94
0.03164	1.95
0.03229	1.96
0.032949	1.97
0.033619	1.98
0.034299	1.99
0.034989	2
0.035689	2.01
0.0364	2.02
0.037121	2.03
0.037852	2.04
0.038594	2.05
0.039347	2.06
0.040111	2.07
0.040885	2.08
0.041671	2.09
0.042468	2.1
0.043276	2.11
0.044095	2.12
0.044926	2.13
0.045768	2.14
0.046622	2.15
0.047487	2.16
0.048364	2.17
0.049254	2.18
0.050155	2.19
0.051068	2.2
0.051994	2.21
0.052932	2.22
0.053882	2.23
0.054845	2.24
0.05582	2.25
0.056808	2.26
0.057809	2.27
0.058823	2.28
0.05985	2.29
0.060891	2.3
0.061944	2.31
0.063011	2.32
0.064091	2.33
0.065184	2.34
0.066292	2.35
0.067413	2.36
0.068548	2.37
0.069697	2.38
0.07086	2.39
0.072037	2.4
0.073228	2.41
0.074434	2.42
0.075654	2.43
0.076889	2.44
0.078139	2.45
0.079403	2.46
0.080683	2.47
0.081977	2.48
0.083286	2.49
0.084611	2.5
0.085951	2.51
0.087307	2.52
0.088678	2.53
0.090064	2.54
0.091466	2.55
0.092885	2.56
0.094319	2.57
0.095769	2.58
0.097236	2.59
0.098718	2.6
0.10022	2.61
0.10173	2.62
0.10327	2.63
0.10481	2.64
0.10638	2.65
0.10796	2.66
0.10956	2.67
0.11118	2.68
0.11281	2.69
0.11446	2.7
0.11613	2.71
0.11782	2.72
0.11952	2.73
0.12124	2.74
0.12298	2.75
0.12474	2.76
0.12652	2.77
0.12831	2.78
0.13012	2.79
0.13195	2.8
0.1338	2.81
0.13567	2.82
0.13756	2.83
0.13946	2.84
0.14138	2.85
0.14333	2.86
0.14529	2.87
0.14727	2.88
0.14927	2.89
0.15129	2.9
0.15333	2.91
0.15539	2.92
0.15747	2.93
0.15957	2.94
0.16169	2.95
0.16383	2.96
0.16598	2.97
0.16816	2.98
0.17036	2.99
0.17258	3
0.17482	3.01
0.17708	3.02
0.17937	3.03
0.18167	3.04
0.18399	3.05
0.18634	3.06
0.1887	3.07
0.19109	3.08
0.1935	3.09
0.19593	3.1
0.19838	3.11
0.20085	3.12
0.20335	3.13
0.20587	3.14
0.20841	3.15
0.21097	3.16
0.21355	3.17
0.21615	3.18
0.21878	3.19
0.22143	3.2
0.2241	3.21
0.2268	3.22
0.22952	3.23
0.23226	3.24
0.23502	3.25
0.23781	3.26
0.24062	3.27
0.24345	3.28
0.24631	3.29
0.24919	3.3
0.25209	3.31
0.25502	3.32
0.25797	3.33
0.26094	3.34
0.26394	3.35
0.26696	3.36
0.27001	3.37
0.27308	3.38
0.27617	3.39
0.27929	3.4
0.28243	3.41
0.2856	3.42
0.28879	3.43
0.29201	3.44
0.29525	3.45
0.29852	3.46
0.30181	3.47
0.30512	3.48
0.30846	3.49
0.31183	3.5
0.31522	3.51
0.31864	3.52
0.32208	3.53
0.32555	3.54
0.32904	3.55
0.33256	3.56
0.33611	3.57
0.33968	3.58
0.34328	3.59
0.3469	3.6
0.35055	3.61
0.35422	3.62
0.35792	3.63
0.36165	3.64
0.36541	3.65
0.36919	3.66
0.37299	3.67
0.37683	3.68
0.38069	3.69
0.38457	3.7
0.38849	3.71
0.39243	3.72
0.3964	3.73
0.40039	3.74
0.40442	3.75
0.40847	3.76
0.41254	3.77
0.41665	3.78
0.42078	3.79
0.42494	3.8
0.42913	3.81
0.43334	3.82
0.43758	3.83
0.44185	3.84
0.44615	3.85
0.45048	3.86
0.45483	3.87
0.45922	3.88
0.46363	3.89
0.46807	3.9
0.47253	3.91
0.47703	3.92
0.48155	3.93
0.48611	3.94
0.49069	3.95
0.4953	3.96
0.49994	3.97
0.5046	3.98
0.5093	3.99
0.51402	4
0.51878	4.01
0.52356	4.02
0.52837	4.03
0.53322	4.04
0.53809	4.05
0.54299	4.06
0.54792	4.07
0.55288	4.08
0.55786	4.09
0.56288	4.1
0.56793	4.11
0.57301	4.12
0.57811	4.13
0.58325	4.14
0.58842	4.15
0.59361	4.16
0.59884	4.17
0.60409	4.18
0.60938	4.19
0.6147	4.2
0.62004	4.21
0.62542	4.22
0.63083	4.23
0.63627	4.24
0.64173	4.25
0.64723	4.26
0.65276	4.27
0.65832	4.28
0.66391	4.29
0.66953	4.3
0.67518	4.31
0.68086	4.32
0.68657	4.33
0.69232	4.34
0.69809	4.35
0.7039	4.36
0.70973	4.37
0.7156	4.38
0.7215	4.39
0.72743	4.4
0.73339	4.41
0.73938	4.42
0.7454	4.43
0.75145	4.44
0.75754	4.45
0.76366	4.46
0.76981	4.47
0.77598	4.48
0.7822	4.49
0.78844	4.5
0.79471	4.51
0.80102	4.52
0.80736	4.53
0.81373	4.54
0.82013	4.55
0.82656	4.56
0.83302	4.57
0.83952	4.58
0.84605	4.59
0.85261	4.6
0.8592	4.61
0.86582	4.62
0.87248	4.63
0.87917	4.64
0.88589	4.65
0.89264	4.66
0.89943	4.67
0.90624	4.68
0.91309	4.69
0.91998	4.7
0.92689	4.71
0.93384	4.72
0.94081	4.73
0.94783	4.74
0.95487	4.75
0.96195	4.76
0.96905	4.77
0.9762	4.78
0.98337	4.79
0.99058	4.8
0.99781	4.81
1.0051	4.82
1.0124	4.83
1.0197	4.84
1.0271	4.85
1.0345	4.86
1.0419	4.87
1.0494	4.88
1.0569	4.89
1.0644	4.9
1.072	4.91
1.0796	4.92
1.0872	4.93
1.0949	4.94
1.1026	4.95
1.1103	4.96
1.1181	4.97
1.1259	4.98
1.1337	4.99
1.1416	5
